seed,nsaid,address,operation,configured,observed,bresp,rresp,memory_effect
55,1,0x00000000200000e2,write,1,DENY,2,, 0
55,2,0x00000000200000ef,read,1,DENY,,2,0
55,3,0x00000000200000fc,write,0,DENY,2,, 0
55,4,0x0000000020000009,read,1,DENY,,2,0
55,5,0x0000000020000016,write,1,DENY,2,, 0
55,6,0x0000000020000023,read,0,DENY,,2,0
55,7,0x0000000020000030,write,1,DENY,2,, 0
55,8,0x000000002000003d,read,1,DENY,,2,0
55,9,0x000000002000004a,write,0,DENY,2,, 0
55,10,0x0000000020000057,read,1,DENY,,2,0
